!
!Date: 10/18/2016
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Type	Assay	Annotation	Action	Modification	Phenotype	Source	Reference	Note
BNI1	YNL271C	AHP1	YLR109W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	AIM21	YIR003W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	AIM4	YBR194W	Physical	Affinity Capture-MS	high-throughput	Hit	No Modification		BioGRID	Ren L, et al. (2011) PMID:21386897	
BNI1	YNL271C	AIM44	YPL158C	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	AIM7	YDR063W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	AIP1	YMR092C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ALG5	YPL227C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show a synthetic growth defect compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	ALG6	YOR002W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show a synthetic growth defect compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	ALG8	YOR067C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show a synthetic growth defect compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	APM1	YPL259C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show a synthetic growth defect compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	ARC15	YIL062C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ARC18	YLR370C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ARC19	YKL013C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ARC40	YBR234C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ARF3	YOR094W	Genetic	Dosage Rescue	manually curated	Hit		vegetative growth: normal Mutant Type: unspecified	BioGRID	Lambert AA, et al. (2007) PMID:17425670	
BNI1	YNL271C	ARL1	YBR164C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show synthetic lethality compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	ARL3	YPL051W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show a synthetic growth defect compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	ARP1	YHR129C	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Schoner D, et al. (2008) PMID:18194531	High Throughput: Synthetic Genetic Array (SGA) analysis
BNI1	YNL271C	ARP1	YHR129C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	ARP1	YHR129C	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	ARP1	YHR129C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	ARP1	YHR129C	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Fujiwara T, et al. (1999) PMID:10567527	
BNI1	YNL271C	ARP1	YHR129C	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	ARP1	YHR129C	Genetic	Synthetic Growth Defect	manually curated	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Liu W, et al. (2012) PMID:22160598	double mutant shows increased sensitivity to cold and chemicals
BNI1	YNL271C	ARP1	YHR129C	Genetic	Synthetic Growth Defect	high-throughput	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	ARP2	YDL029W	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Yamamoto T, et al. (2010) PMID:20147449	BNI1/BNR1/APR2 triple mutants show increased defects in budding
BNI1	YNL271C	ARP2	YDL029W	Physical	Affinity Capture-MS	high-throughput	Hit	No Modification		BioGRID	Ho Y, et al. (2002) PMID:11805837	
BNI1	YNL271C	ARP2	YDL029W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ARP3	YJR065C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ASE1	YOR058C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	ASE1	YOR058C	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	ASE1	YOR058C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	ASE1	YOR058C	Genetic	Synthetic Lethality	manually curated	Hit		inviable Mutant Type: unspecified	BioGRID	Lee L, et al. (1999) PMID:10085293	
BNI1	YNL271C	ASE1	YOR058C	Genetic	Synthetic Growth Defect	high-throughput	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	ASE1	YOR058C	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	ASK10	YGR097W	Genetic	Positive Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	ATP16	YDL004W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ATP2	YJR121W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ATS1	YAL020C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	ATS1	YAL020C	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	ATS1	YAL020C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	AXL1	YPR122W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	AXL2	YIL140W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	BBC1	YJL020C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	BBC1	YJL020C	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	BBC1	YJL020C	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	BBC1	YJL020C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	BBC1	YJL020C	Genetic	Synthetic Growth Defect	high-throughput	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	BBC1	YJL020C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	BCK1	YJL095W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	BCK1	YJL095W	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Fujiwara T, et al. (1998) PMID:9571251	
BNI1	YNL271C	BCK1	YJL095W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	BCK1	YJL095W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	BCK1	YJL095W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Sharifpoor S, et al. (2012) PMID:22282571	score threshold <= -0.12, interaction detected by Synthetic Genetic Array (SGA)
BNI1	YNL271C	BEM1	YBR200W	Genetic	Synthetic Lethality	manually curated	Hit		inviable Mutant Type: unspecified	BioGRID	Gorelik M, et al. (2011) PMID:21489982	
BNI1	YNL271C	BEM1	YBR200W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	BEM1	YBR200W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	BEM2	YER155C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	BEM2	YER155C	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	BEM2	YER155C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	BEM3	YPL115C	Genetic	Dosage Rescue	manually curated	Bait		vegetative growth: normal Mutant Type: unspecified	BioGRID	Kadota J, et al. (2004) PMID:15371547	bni1 cla4 mutant
BNI1	YNL271C	BEM3	YPL115C	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Bidlingmaier S and Snyder M (2004) PMID:14734532	
BNI1	YNL271C	BEM3	YPL115C	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	BEM4	YPL161C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	BEM4	YPL161C	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	BEM4	YPL161C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	BIK1	YCL029C	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	BIL1	YOR304C-A	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	BIL1	YOR304C-A	Genetic	Synthetic Growth Defect	manually curated	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Graziano BR, et al. (2013) PMID:23671312	Figure 7C
BNI1	YNL271C	BIL1	YOR304C-A	Genetic	Phenotypic Enhancement	manually curated	Hit			BioGRID	Graziano BR, et al. (2013) PMID:23671312	Figure 7|actin organization defects
BNI1	YNL271C	BIM1	YER016W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	BNI1/BIM1/INO2 and BNI/BIM1/RPN10 triple mutants show synthetic growth defects compared to a BNI1/BIM1 double mutant|genetic complex
BNI1	YNL271C	BIM1	YER016W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	BNI1/BIM1/IKI3 and BNI/BIM1/CHS7 triple mutants show synthetic lethality not seen in a BNI1/BIM1 double mutant|genetic complex
BNI1	YNL271C	BNI1	YNL271C	Physical	Reconstituted Complex	manually curated	Hit	No Modification		BioGRID	Moseley JB, et al. (2004) PMID:14657240	
BNI1	YNL271C	BNI1	YNL271C	Physical	Co-crystal Structure	manually curated	Hit	No Modification		BioGRID	Xu Y, et al. (2004) PMID:15006353	
BNI1	YNL271C	BNI1	YNL271C	Physical	Two-hybrid	manually curated	Hit	No Modification		BioGRID	Wang J, et al. (2009) PMID:19220811	
BNI1	YNL271C	BNI1	YNL271C	Physical	Reconstituted Complex	manually curated	Hit	No Modification		BioGRID	Wang J, et al. (2009) PMID:19220811	
BNI1	YNL271C	BNI1	YNL271C	Physical	Reconstituted Complex	manually curated	Hit	No Modification		BioGRID	Courtemanche N and Pollard TD (2012) PMID:22247555	
BNI1	YNL271C	BNI1	YNL271C	Physical	Reconstituted Complex	manually curated	Hit	No Modification		BioGRID	Tu D, et al. (2012) PMID:23161908	
BNI1	YNL271C	BNI4	YNL233W	Genetic	Synthetic Lethality	manually curated	Hit		inviable Mutant Type: unspecified	BioGRID	Larson JR, et al. (2008) PMID:18480405	bni4 bni1 null mutants are synthetic lethal.
BNI1	YNL271C	BNI4	YNL233W	Genetic	Synthetic Growth Defect	manually curated	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Larson JR, et al. (2008) PMID:18480405	Some bni4 mutants, e.g. bni4 delta 882-892, show synthetic growth defects in combination with a bni1 null mutant.
BNI1	YNL271C	BNI4	YNL233W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	BNI4	YNL233W	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	BNI4	YNL233W	Genetic	Synthetic Growth Defect	high-throughput	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Lesage G, et al. (2005) PMID:15715908	SGA
BNI1	YNL271C	BNI4	YNL233W	Genetic	Synthetic Growth Defect	high-throughput	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	BNI4	YNL233W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Rescue	manually curated	Hit		vegetative growth: normal Mutant Type: unspecified	BioGRID	Dong Y, et al. (2003) PMID:12810699	genetic complex|mutation of bni1 rescues growth in a bnr1/rho3 mutant
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Sagot I, et al. (2002) PMID:11740491	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Dixon SJ, et al. (2008) PMID:18931302	EMAP
BNI1	YNL271C	BNR1	YIL159W	Genetic	Phenotypic Enhancement	manually curated	Hit			BioGRID	Gross SR and Kinzy TG (2007) PMID:17178834	double mutants show a block in initiation
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Moseley JB, et al. (2004) PMID:14657240	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Evangelista M, et al. (2002) PMID:11875440	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Imamura H, et al. (1997) PMID:9184220	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Pruyne D, et al. (2004) PMID:15371545	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Ozaki-Kuroda K, et al. (2001) PMID:11154270	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Lethality	manually curated	Hit		inviable Mutant Type: unspecified	BioGRID	Kamei T, et al. (1998) PMID:9774458	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Growth Defect	manually curated	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Liu W, et al. (2012) PMID:22160598	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Buttery SM, et al. (2012) PMID:22918953	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Buttery SM, et al. (2012) PMID:22918953	bni1-1 allele; actin cable assembly defective in double mutants
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Growth Defect	manually curated	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Yoshida M, et al. (2013) PMID:23708467	bni1 bnr1 double mutant has increased sensitivity to CaCl2
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Growth Defect	manually curated	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Yamamoto T, et al. (2010) PMID:20147449	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Yamamoto T, et al. (2010) PMID:20147449	BNI1/BNR1/APR2 triple mutants show increased defects in budding|BNI1/BNR1/SLA2 triple mutants show increased defects in budding
BNI1	YNL271C	BNR1	YIL159W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	BNR1	YIL159W	Genetic	Phenotypic Enhancement	manually curated	Hit			BioGRID	Gao L and Bretscher A (2008) PMID:18234843	double mutants show a loss of actin cables
BNI1	YNL271C	BNR1	YIL159W	Physical	Reconstituted Complex	manually curated	Bait	No Modification		BioGRID	Gould CJ, et al. (2011) PMID:21333540	
BNI1	YNL271C	BRO1	YPL084W	Physical	Two-hybrid	high-throughput	Hit	No Modification		BioGRID	Wang Y, et al. (2012) PMID:22875988	Interaction between cloned coiled-coil domains
BNI1	YNL271C	BRX1	YOL077C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Davierwala AP, et al. (2005) PMID:16155567	SGA screen
